class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Amazon	320	640	-30	430	10	8	335	623	189	419	29	29	337	392	0	110	55	110	450	506	49	131	56	82	566	621	0	110	55	110	451	507	-23	31	56	54	522	547	7	32	25	25	411	436	147	172	25	25	521	546	147	172	25	25	450	506	147	172	56	25	567	621	128	182	54	54	338	392	126	180	54	54
Sorceress	320	640	-30	430	10	8	335	623	189	419	29	29	337	392	0	110	55	110	450	506	49	131	56	82	566	621	0	110	55	110	451	507	-23	31	56	54	522	547	7	32	25	25	411	436	147	172	25	25	521	546	147	172	25	25	450	506	147	172	56	25	567	621	128	182	54	54	338	392	126	180	54	54
Necromancer	320	640	-30	430	10	8	335	623	189	419	29	29	337	392	0	110	55	110	450	506	49	131	56	82	566	621	0	110	55	110	451	507	-23	31	56	54	522	547	7	32	25	25	411	436	147	172	25	25	521	546	147	172	25	25	450	506	147	172	56	25	567	621	128	182	54	54	338	392	126	180	54	54
Paladin	320	640	-30	430	10	8	335	623	189	419	29	29	337	392	0	110	55	110	450	506	49	131	56	82	566	621	0	110	55	110	451	507	-23	31	56	54	522	547	7	32	25	25	411	436	147	172	25	25	521	546	147	172	25	25	450	506	147	172	56	25	567	621	128	182	54	54	338	392	126	180	54	54
Barbarian	320	640	-30	430	10	8	335	623	189	419	29	29	337	392	0	110	55	110	450	506	49	131	56	82	566	621	0	110	55	110	451	507	-23	31	56	54	522	547	7	32	25	25	411	436	147	172	25	25	521	546	147	172	25	25	450	506	147	172	56	25	567	621	128	182	54	54	338	392	126	180	54	54
Monster	0	321	0	442	10	10	16	305	43	332	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1	0	321	0	219	10	4	20	305	41	148	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2	0	321	220	442	10	4	20	305	255	368	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page 1	0	321	220	442	6	4	74	244	273	386	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box Page 1	0	321	220	442	4	4	104	218	140	254	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
